zip,cluster,doctor_count
17601,root_A,1
17601,root_Ac_Ac_A,8
17601,root_Ac_Ac_Ac,4
17602,root_A,2
17602,root_Ac_Ac_A,4
17602,root_Ac_Ac_Ac,5
17603,root_A,2
17603,root_Ac_Ac_A,5
17603,root_Ac_Ac_Ac,8
17604,root_Ac_Ac_Ac,2
17653,root_Ac_Ac_Ac,1
17701,root_A,2
17701,root_Ac_A,4
17701,root_Ac_Ac_A,13
17701,root_Ac_Ac_Ac,7
17710,root_Ac_Ac_A,1
17710,root_Ac_Ac_Ac,2
17712,root_Ac_Ac_Ac,1
17737,root_Ac_Ac_A,1
17740,root_Ac_Ac_A,2
17745,root_Ac_Ac_A,1
17751,root_Ac_Ac_A,1
17754,root_Ac_Ac_A,1
17756,root_Ac_Ac_A,1
17756,root_Ac_Ac_Ac,1
17777,root_Ac_Ac_A,1
17777,root_Ac_Ac_Ac,1
17801,root_Ac_A,1
17801,root_Ac_Ac_A,4
17801,root_Ac_Ac_Ac,1
17815,root_Ac_Ac_Ac,1
17821,root_Ac_A,1
17821,root_Ac_Ac_A,1
17821,root_Ac_Ac_Ac,1
17822,root_A,1
17822,root_Ac_A,3
17822,root_Ac_Ac_A,5
17822,root_Ac_Ac_Ac,6
17824,root_Ac_Ac_Ac,1
17834,root_Ac_Ac_A,1
17834,root_Ac_Ac_Ac,1
17837,root_A,1
17837,root_Ac_A,2
17837,root_Ac_Ac_A,10
17837,root_Ac_Ac_Ac,7
17842,root_Ac_Ac_A,38
17842,root_Ac_Ac_Ac,28
17844,root_Ac_Ac_A,3
17844,root_Ac_Ac_Ac,1
17847,root_Ac_Ac_A,2
17851,root_A,1
17851,root_Ac_A,1
17851,root_Ac_Ac_A,1
17851,root_Ac_Ac_Ac,1
17857,root_Ac_Ac_A,1
17866,root_Ac_Ac_Ac,1
17870,root_Ac_Ac_A,6
17870,root_Ac_Ac_Ac,3
17872,root_Ac_A,1
17872,root_Ac_Ac_Ac,1
17876,root_Ac_Ac_A,4
17876,root_Ac_Ac_Ac,4
17901,root_A,3
17901,root_Ac_A,1
17901,root_Ac_Ac_A,5
17901,root_Ac_Ac_Ac,6
17921,root_A,1
17922,root_Ac_Ac_A,1
17922,root_Ac_Ac_Ac,1
17929,root_Ac_Ac_A,1
17931,root_Ac_Ac_A,2
17948,root_Ac_Ac_A,1
17948,root_Ac_Ac_Ac,1
17954,root_Ac_Ac_A,1
17954,root_Ac_Ac_Ac,1
17959,root_Ac_Ac_Ac,2
17960,root_Ac_Ac_A,1
17961,root_A,1
17963,root_Ac_Ac_A,1
17963,root_Ac_Ac_Ac,1
17967,root_A,1
17976,root_A,1
18002,root_Ac_Ac_Ac,1
18013,root_Ac_Ac_A,2
18013,root_Ac_Ac_Ac,1
18014,root_Ac_Ac_A,2
18014,root_Ac_Ac_Ac,1
18015,root_A,1
18015,root_Ac_A,1
18015,root_Ac_Ac_A,13
18015,root_Ac_Ac_Ac,14
18017,root_A,2
18017,root_Ac_A,2
18017,root_Ac_Ac_A,14
18017,root_Ac_Ac_Ac,14
18018,root_A,5
18018,root_Ac_A,1
18018,root_Ac_Ac_A,1
18018,root_Ac_Ac_Ac,2
18020,root_A,2
18020,root_Ac_A,1
18020,root_Ac_Ac_A,10
18020,root_Ac_Ac_Ac,7
18025,root_Ac_Ac_A,1
18031,root_Ac_Ac_A,1
18032,root_Ac_Ac_A,1
18034,root_Ac_Ac_Ac,1
18036,root_Ac_A,1
18036,root_Ac_Ac_A,1
18036,root_Ac_Ac_Ac,1
18040,root_Ac_Ac_A,2
18040,root_Ac_Ac_Ac,1
18042,root_A,1
18042,root_Ac_Ac_A,2
18045,root_A,4
18045,root_Ac_Ac_A,13
18045,root_Ac_Ac_Ac,12
18049,root_A,1
18049,root_Ac_Ac_A,1
18049,root_Ac_Ac_Ac,1
18052,root_A,2
18052,root_Ac_Ac_A,2
18052,root_Ac_Ac_Ac,1
18062,root_Ac_Ac_A,2
18064,root_A,1
18064,root_Ac_Ac_A,2
18067,root_Ac_Ac_A,2
18071,root_Ac_Ac_A,1
18071,root_Ac_Ac_Ac,1
18078,root_Ac_Ac_A,1
18078,root_Ac_Ac_Ac,1
18091,root_A,1
18091,root_Ac_A,1
18091,root_Ac_Ac_A,5
18091,root_Ac_Ac_Ac,5
18102,root_A,1
18102,root_Ac_A,3
18102,root_Ac_Ac_A,6
18102,root_Ac_Ac_Ac,5
18103,root_A,5
18103,root_Ac_A,3
18103,root_Ac_Ac_A,15
18103,root_Ac_Ac_Ac,23
18104,root_A,1
18104,root_Ac_A,2
18104,root_Ac_Ac_A,22
18104,root_Ac_Ac_Ac,21
18105,root_Ac_A,3
18105,root_Ac_Ac_A,2
18105,root_Ac_Ac_Ac,3
18106,root_Ac_Ac_A,4
18107,root_Ac_Ac_A,1
18107,root_Ac_Ac_Ac,2
18109,root_A,1
18109,root_Ac_A,1
18109,root_Ac_Ac_A,3
18109,root_Ac_Ac_Ac,1
18201,root_Ac_Ac_A,3
18201,root_Ac_Ac_Ac,3
18202,root_A,1
18202,root_Ac_Ac_A,7
18202,root_Ac_Ac_Ac,5
18218,root_Ac_Ac_Ac,1
18219,root_A,1
18222,root_A,1
18222,root_Ac_Ac_A,1
18222,root_Ac_Ac_Ac,2
18224,root_Ac_Ac_Ac,1
18229,root_A,1
18229,root_Ac_Ac_A,2
18235,root_A,2
18235,root_Ac_Ac_A,4
18235,root_Ac_Ac_Ac,5
18249,root_Ac_Ac_Ac,1
18252,root_Ac_Ac_A,4
18252,root_Ac_Ac_Ac,3
18301,root_A,1
18301,root_Ac_A,2
18301,root_Ac_Ac_A,10
18301,root_Ac_Ac_Ac,19
18302,root_Ac_Ac_A,1
18302,root_Ac_Ac_Ac,1
18321,root_Ac_A,1
18321,root_Ac_Ac_Ac,1
18336,root_Ac_Ac_Ac,1
18337,root_Ac_Ac_A,3
18337,root_Ac_Ac_Ac,3
18343,root_Ac_Ac_Ac,1
18344,root_A,1
18360,root_A,2
18360,root_Ac_A,1
18360,root_Ac_Ac_A,1
18360,root_Ac_Ac_Ac,6
18407,root_Ac_Ac_A,4
18407,root_Ac_Ac_Ac,3
18411,root_A,1
18411,root_Ac_A,1
18411,root_Ac_Ac_A,3
18411,root_Ac_Ac_Ac,4
18414,root_Ac_Ac_Ac,1
18426,root_Ac_Ac_A,1
18426,root_Ac_Ac_Ac,1
18427,root_Ac_Ac_A,1
18431,root_A,2
18431,root_Ac_A,2
18431,root_Ac_Ac_A,4
18431,root_Ac_Ac_Ac,2
18433,root_Ac_Ac_A,1
18433,root_Ac_Ac_Ac,1
18436,root_Ac_A,1
18436,root_Ac_Ac_A,3
18436,root_Ac_Ac_Ac,2
18444,root_Ac_Ac_A,2
18447,root_Ac_Ac_A,1
18447,root_Ac_Ac_Ac,1
18452,root_Ac_A,1
18452,root_Ac_Ac_A,1
18452,root_Ac_Ac_Ac,1
18464,root_Ac_A,1
18471,root_Ac_Ac_Ac,1
18472,root_Ac_Ac_Ac,1
18503,root_Ac_Ac_Ac,1
18504,root_A,3
18504,root_Ac_Ac_A,1
18504,root_Ac_Ac_Ac,1
18505,root_A,1
18505,root_Ac_Ac_A,2
18505,root_Ac_Ac_Ac,2
18507,root_A,1
18507,root_Ac_Ac_Ac,3
18508,root_Ac_Ac_A,7
18508,root_Ac_Ac_Ac,8
18509,root_Ac_Ac_A,6
18509,root_Ac_Ac_Ac,3
18510,root_A,4
18510,root_Ac_Ac_A,6
18510,root_Ac_Ac_Ac,7
18512,root_A,1
18512,root_Ac_A,1
18512,root_Ac_Ac_A,3
18512,root_Ac_Ac_Ac,4
18517,root_A,2
18517,root_Ac_Ac_A,1
18517,root_Ac_Ac_Ac,1
18518,root_Ac_A,2
18518,root_Ac_Ac_A,3
18518,root_Ac_Ac_Ac,7
18603,root_Ac_Ac_Ac,1
18612,root_A,1
18623,root_Ac_Ac_A,1
18630,root_Ac_Ac_A,1
18634,root_Ac_A,1
18634,root_Ac_Ac_A,2
18634,root_Ac_Ac_Ac,1
18640,root_Ac_Ac_A,1
18641,root_A,1
18641,root_Ac_Ac_A,2
18641,root_Ac_Ac_Ac,1
18642,root_Ac_Ac_A,1
18642,root_Ac_Ac_Ac,1
18643,root_A,1
18644,root_A,1
18644,root_Ac_Ac_A,1
18644,root_Ac_Ac_Ac,1
18655,root_Ac_Ac_A,1
